Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Local primera parte,Goles Visitante,Goles Visitante primera parte
2020-21,2020-10-25,Cadiz,6,4,10,6,2.0,1.0,Villarreal,7,7,10,3,3.0,6.0,D,0.0,0.0,0.0,0.0
2020-21,2020-10-25,Getafe,5,3,10,8,3.0,1.0,Granada,7,8,10,5,2.0,2.0,A,0.0,0.0,1.0,1.0
2020-21,2020-10-25,Sociedad,9,1,10,2,2.0,0.0,Huesca,3,5,4,17,0.0,3.0,H,4.0,1.0,1.0,0.0
2020-21,2020-10-26,Levante,5,10,3,20,3.0,4.0,Celta,3,9,4,17,2.0,3.0,D,1.0,0.0,1.0,0.0
2020-21,2020-10-30,Eibar,4,4,7,11,2.0,3.0,Cadiz,4,4,8,5,1.0,1.0,A,0.0,0.0,2.0,2.0
2020-21,2020-10-31,Real Madrid,9,4,12,4,3.0,4.0,Huesca,4,7,4,18,0.0,3.0,H,4.0,2.0,1.0,0.0
2020-21,2020-10-31,Ath Bilbao,4,4,6,17,1.0,0.0,Sevilla,5,4,7,14,1.0,2.0,H,2.0,0.0,1.0,1.0
2020-21,2020-10-31,Osasuna,4,4,7,7,2.0,1.0,Ath Madrid,10,1,11,6,2.0,0.0,A,1.0,0.0,3.0,1.0
2020-21,2020-10-31,Alaves,4,5,7,12,1.0,3.0,Barcelona,9,5,7,15,7.0,2.0,D,1.0,1.0,1.0,0.0
2020-21,2020-11-01,Betis,4,11,3,11,3.0,5.0,Elche,5,4,10,9,4.0,0.0,H,3.0,2.0,1.0,0.0
2020-21,2020-11-01,Celta,2,9,2,17,1.0,3.0,Sociedad,13,2,12,3,3.0,0.0,A,1.0,0.0,4.0,2.0
2020-21,2020-11-01,Granada,6,8,10,5,3.0,2.0,Levante,4,7,4,19,1.0,2.0,D,1.0,1.0,1.0,1.0
2020-21,2020-11-01,Valencia,4,7,4,15,2.0,4.0,Getafe,4,4,7,8,3.0,2.0,D,2.0,1.0,2.0,0.0
2020-21,2020-11-02,Villarreal,5,6,8,7,3.0,6.0,Valladolid,4,8,2,20,2.0,2.0,H,2.0,2.0,0.0,0.0
2020-21,2020-11-06,Elche,6,4,10,10,4.0,2.0,Celta,2,12,1,17,0.0,5.0,D,1.0,1.0,1.0,1.0
2020-21,2020-11-07,Huesca,4,10,3,18,0.0,4.0,Eibar,3,4,7,12,2.0,4.0,D,1.0,0.0,1.0,1.0
2020-21,2020-11-07,Barcelona,6,6,5,15,3.0,3.0,Betis,5,9,6,7,3.0,4.0,H,5.0,1.0,2.0,1.0
2020-21,2020-11-07,Sevilla,3,5,4,17,2.0,2.0,Osasuna,5,6,7,10,2.0,2.0,H,1.0,0.0,0.0,0.0
2020-21,2020-11-07,Ath Madrid,7,1,11,6,2.0,0.0,Cadiz,5,1,11,5,3.0,1.0,H,4.0,2.0,0.0,0.0
2020-21,2020-11-08,Getafe,6,6,7,8,3.0,3.0,Villarreal,7,2,11,4,5.0,2.0,A,1.0,1.0,3.0,2.0
2020-21,2020-11-08,Sociedad,14,3,12,1,5.0,0.0,Granada,5,8,8,5,3.0,2.0,H,2.0,2.0,0.0,0.0
2020-21,2020-11-08,Levante,2,7,2,19,1.0,2.0,Alaves,5,6,7,15,2.0,3.0,D,1.0,0.0,1.0,1.0
2020-21,2020-11-08,Valladolid,3,9,1,20,2.0,3.0,Ath Bilbao,4,4,6,14,0.0,1.0,H,2.0,1.0,1.0,0.0
2020-21,2020-11-08,Valencia,5,8,4,16,2.0,4.0,Real Madrid,10,3,12,3,4.0,2.0,H,4.0,2.0,1.0,1.0
2020-21,2020-11-20,Osasuna,4,4,7,12,1.0,1.0,Huesca,5,11,3,19,0.0,5.0,D,1.0,0.0,1.0,1.0
2020-21,2020-11-21,Levante,3,7,3,20,1.0,3.0,Elche,6,5,8,11,4.0,3.0,D,1.0,1.0,1.0,0.0
2020-21,2020-11-21,Villarreal,7,2,11,2,5.0,2.0,Real Madrid,10,7,9,4,5.0,4.0,D,1.0,0.0,1.0,1.0
2020-21,2020-11-21,Sevilla,3,5,4,13,2.0,2.0,Celta,3,10,2,17,1.0,5.0,H,4.0,2.0,2.0,2.0
2020-21,2020-11-21,Ath Madrid,11,1,13,3,4.0,0.0,Barcelona,8,8,5,12,3.0,4.0,H,1.0,1.0,0.0,0.0
2020-21,2020-11-22,Eibar,4,4,8,14,3.0,3.0,Getafe,4,9,4,12,1.0,5.0,D,0.0,0.0,0.0,0.0
2020-21,2020-11-22,Cadiz,4,5,8,6,3.0,3.0,Sociedad,16,2,15,1,7.0,0.0,A,0.0,0.0,1.0,0.0
2020-21,2020-11-22,Granada,4,4,8,5,3.0,3.0,Valladolid,5,9,4,20,3.0,3.0,A,1.0,0.0,3.0,1.0
2020-21,2020-11-22,Alaves,5,4,8,16,2.0,1.0,Valencia,8,9,4,11,4.0,5.0,D,2.0,2.0,2.0,0.0
2020-21,2020-11-23,Ath Bilbao,5,5,6,16,0.0,2.0,Betis,7,11,6,8,4.0,2.0,H,4.0,2.0,0.0,0.0
2020-21,2020-11-27,Valladolid,7,8,7,17,3.0,2.0,Levante,4,6,4,20,2.0,2.0,D,1.0,0.0,1.0,0.0
2020-21,2020-11-28,Elche,7,6,8,12,4.0,4.0,Cadiz,3,5,7,6,3.0,2.0,D,1.0,1.0,1.0,0.0
2020-21,2020-11-28,Valencia,10,9,5,10,4.0,6.0,Ath Madrid,12,1,15,2,5.0,0.0,A,0.0,0.0,1.0,0.0
2020-21,2020-11-28,Huesca,6,12,3,20,1.0,5.0,Sevilla,6,6,6,7,3.0,3.0,A,0.0,0.0,1.0,0.0
